"hei","title____0___string","title____0___lang","code","course__ects","language_of_instruction____0","description____0___multiline","description____0___lang","learning_outcomes____0___multiline","learning_outcomes____0___lang","course__academic_term____0","course__assessment_method____0___multiline","course__assessment_method____0___lang","course__bibliography____0___multiline","course__bibliography____0___lang","course__course_availability____0___multiline","course__course_availability____0___lang","course__course_content____0___multiline","course__course_content____0___lang","course__isced_code____0","course__local_classification____0___type","course__local_classification____0___value","course__prerequisite_course____0","course__prerequisites____0___multiline","course__prerequisites____0___lang","course__related_programme____0___code","course__related_programme____0___year","course__related_programme____0___mandatory","course__related_programme____1___code","course__related_programme____1___year","course__related_programme____1___mandatory","course__restricted_to_local","course__restricted_to_alliance","course__teaching_method____0___multiline","course__teaching_method____0___lang","url____0___uri","url____0___lang","course__deprecated"
"budapest.uni-foundation.eu","Basic HTML","en","HTML01",6,"en","This course introduces the fundamentals of HTML, covering the structure of web pages and basic markup elements. Students will learn how to create headings, paragraphs, lists, links, images, and forms.","en","By the end of the course, students will be able to build simple web pages using HTML and structure content effectively for web browsers.","en","1/2","Students will be assessed through practical exercises, a small project, and quizzes to evaluate their understanding of HTML structure.","en",,"en","The course is offered every semester and is open to all students with an interest in web development.","en","Topics include HTML syntax, document structure, headings, paragraphs, links, images, forms, and tables.","en","0613",,,,"No prior programming experience is required.","en","FRONTEND","1/3","1","BACKEND","1/3","1","0",0,"The course is delivered through a combination of lectures, hands-on labs, and guided exercises.","en",,,
"budapest.uni-foundation.eu","Basic CSS","en","CSS01",6,"en","This course covers the basics of CSS, enabling students to style and layout web pages. Topics include selectors, properties, colors, fonts, and the box model.","en","Students will be able to style HTML elements, apply layouts, and control the visual presentation of web pages.","en","1/2","Assessment includes assignments, practical styling exercises, and a mini project to demonstrate CSS skills.","en","Suggested resources include 'CSS: The Missing Manual' by David Sawyer McFarland and online CSS references.","en","Available every semester, suitable for beginners in web design and development.","en","Key topics: selectors, combinators, properties, colors, typography, box model, margins, padding, and borders.","en","0613",,,,"Basic knowledge of HTML is recommended.","en","FRONTEND","1/3","1","BACKEND","1/3","1","0",0,"Instruction combines lectures with lab exercises, where students apply CSS to real web pages.","en",,,
"budapest.uni-foundation.eu","Basic JavaScript","en","JS01",6,"en","Students are introduced to JavaScript programming for dynamic web content, covering variables, functions, events, and DOM manipulation.","en","Students will be able to write basic scripts to enhance web pages with interactivity and dynamic content.","en","1/2","Evaluation is through coding exercises, small projects, and quizzes that test understanding of JavaScript fundamentals.","en","Resources: 'Eloquent JavaScript' by Marijn Haverbeke and MDN Web Docs for JavaScript reference.","en","Offered every semester, suitable for beginners with HTML and CSS knowledge.","en","Topics include syntax, variables, operators, functions, conditionals, loops, events, and basic DOM manipulation.","en","0613",,,,"Requires familiarity with HTML and basic CSS concepts.","en","FRONTEND","1/3","1","BACKEND","2/3","1","0",0,"Delivered via interactive lectures, coding exercises, and guided projects in a lab environment.","en",,,
"budapest.uni-foundation.eu","Dev Tools I","en","TOOLS01",6,"en","This course introduces essential development tools including version control, build automation, and debugging techniques.","en","Students will gain practical experience in using Git, command-line tools, and debugging methods to support software development workflows.","en","1/2","Assessment is based on exercises, practical tasks using development tools, and short quizzes.","en","References include Git documentation, online tutorials, and tool-specific guides.","en","Offered every semester to students enrolled in frontend and backend programs.","en","Topics: Git basics, branching, merging, build automation with npm or other tools, debugging techniques.","en","0611",,,,"No prerequisites. Hands-on exercises are included in the teaching.","en","FRONTEND","1/3","1","BACKEND","1/3","1","0",0,"The course uses lectures combined with lab sessions and guided practice.","en",,,
"budapest.uni-foundation.eu","Web Servers","en","SRV01",6,"en","This course covers the fundamentals of web server operation, configuration, and deployment, including handling requests and serving content efficiently.","en","Students will understand server-client interactions, HTTP basics, and how to deploy web applications.","en","1/2","Assessment includes server setup assignments, configuration exercises, and quizzes.","en","Suggested readings: 'HTTP: The Definitive Guide' and online web server tutorials.","en","Available every semester for students studying web development.","en","Topics include HTTP protocol, server configuration, hosting static and dynamic content, and basic security measures.","en","0612",,,,"Prior knowledge of HTML and basic networking recommended.","en","FRONTEND","1/3","1","BACKEND","1/3","1","0",0,"Course delivery combines lectures, hands-on server configuration labs, and exercises.","en",,,
"budapest.uni-foundation.eu","Advanced HTML","en","HTML02",6,"en","This course builds on basic HTML skills, introducing advanced elements, semantic markup, accessibility, and best practices in web development.","en","Students will be able to create semantically structured web pages that are accessible and follow web standards.","en","2/2","Evaluation is through practical projects, code reviews, and quizzes to assess understanding of advanced HTML techniques.","en","Resources include online standards guides and advanced HTML tutorials.","en","Offered every semester to students who completed Basic HTML.","en","Topics include semantic HTML, forms, multimedia elements, accessibility features, and SEO basics.","en","0613",,,,"Completion of Basic HTML is recommended.","en","FRONTEND","1/3","1","BACKEND","1/3","1","0",0,"The course is delivered through lectures, demonstrations, and hands-on projects.","en",,,
"budapest.uni-foundation.eu","Advanced CSS","en","CSS02",6,"en","An in-depth CSS course covering layout techniques, responsive design, animations, and modern CSS features.","en","Students will be able to implement advanced styling, responsive layouts, and dynamic visual effects on web pages.","en","2/2","Assessment includes practical exercises, projects, and code reviews focused on advanced CSS techniques.","en","Recommended resources: 'CSS Secrets' by Lea Verou and online responsive design guides.","en","Available every semester for students with basic CSS knowledge.","en","Topics: Flexbox, Grid, media queries, animations, transitions, pseudo-classes, and pseudo-elements.","en","0613",,,,"Completion of Basic CSS is recommended.","en","FRONTEND","1/3","1","BACKEND","1/3","1","0",0,"Delivered through lectures, hands-on exercises, and project work.","en",,,
"budapest.uni-foundation.eu","Intermediate JavaScript","en","JS02",6,"en","This course expands on basic JavaScript, covering intermediate topics such as object-oriented programming, asynchronous operations, and event handling.","en","Students will be able to write modular JavaScript code, handle asynchronous tasks, and implement interactive features.","en","2/2","Assessment through coding assignments, mini projects, and quizzes focusing on intermediate JavaScript concepts.","en","References include 'You Don’t Know JS' series and MDN Web Docs.","en","Offered every semester to students who completed Basic JavaScript.","en","Topics: objects, classes, inheritance, asynchronous programming, event handling, and DOM manipulation.","en","0613",,,,"Completion of Basic JavaScript is recommended.","en","FRONTEND","1/3","1",,,,"0",0,"Course includes lectures, coding labs, and guided exercises.","en",,,
"budapest.uni-foundation.eu","Dev Tools II","en","TOOLS02",6,"en","This course covers advanced development tools including version control strategies, automated builds, and testing frameworks.","en","Students will be able to manage complex projects using Git workflows, continuous integration, and debugging techniques.","en","2/2","Evaluation through practical exercises, automated build setup, and version control tasks.","en","References: Git advanced guides, CI/CD tutorials, and development tool documentation.","en","Offered each semester for students in frontend and backend tracks.","en","Topics: branching strategies, merge conflicts, automated testing tools, build pipelines, and debugging.","en","0611",,,,"Completion of Dev Tools I recommended.","en","FRONTEND","1/3","1","BACKEND","1/3","1","0",0,"Delivered via lectures, hands-on labs, and guided projects.","en",,,
"budapest.uni-foundation.eu","Basic jQuery","en","JQRY01",6,"en","This course introduces jQuery for simplifying JavaScript DOM manipulation, event handling, and AJAX interactions.","en","Students will be able to write efficient jQuery code to manipulate web page elements and handle asynchronous events.","en","2/2","Assessment through coding exercises, mini-projects, and quizzes on jQuery fundamentals.","en","Suggested readings: jQuery official documentation and online tutorials.","en","Available each semester for students with basic JavaScript knowledge.","en","Topics: selectors, events, DOM traversal, effects, animations, and AJAX.","en","0613",,,,"Completion of Basic JavaScript recommended.","en","FRONTEND","1/3","1",,,,"0",0,"Delivered via lectures, coding exercises, and guided labs.","en",,,
